material,Vset,Vreset,dt,endurance,latency,energy
Al2O3,1.2608256845174772,-3.5350229365043093,5.0163209561564965e-08,280235856.79527503,9.839580457082775e-07,2.450192791714212e-10
Al2O3,3.6049204734822986,-3.6369530893192934,5.01883232568876e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
Al2O3,3.448867184012114,-3.6343270518852897,5.0166305428186684e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,1.2726969439423994,-3.630983678648662,5.015663988535951e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
TiO2,3.596217772946078,-1.2830885102722216,5.016098245979955e-08,287133254.63924074,3.7218029547148035e-08,1.1015912418366192e-09
HfO2,3.2097603869947884,-3.8132671494330896,5.016248365250416e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.6517730891788114,-3.4510754218034494,5.017910491789376e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.6271956045802645,-1.0863341210312218,5.018246862405898e-08,267819.86404442514,2.038802904280601e-08,1.0818014678504184e-09
HfO2,3.49125146573481,-3.443316681780709,5.017190377965466e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.801228210799663,-0.8722123741764753,5.016714473449408e-08,287133254.63924074,3.7218029547148035e-08,1.1015912418366192e-09
Al2O3,3.5766571824727524,-3.665264223757535,5.015279902810597e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
Al2O3,1.3042429586769837,-3.7709533783422677,5.017240415491834e-08,280235856.79527503,9.839580457082775e-07,2.450192791714212e-10
Al2O3,3.298959402868258,-3.652307493493622,5.018979530115445e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
Al2O3,3.5961467671023177,-3.833210696482862,5.016664846227921e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,3.5616303303210106,-3.4402831489409875,5.017800341282272e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
Al2O3,1.3336719239991603,-3.700906467849979,5.0180985558982694e-08,280235856.79527503,9.839580457082775e-07,2.450192791714212e-10
TiO2,3.589277601466244,-3.753751198286194,5.01841849388721e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
HfO2,3.6480585501008456,-3.8093988516570154,5.0169031003513834e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.1987327163291415,-3.491788733606702,5.018385670083932e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
Al2O3,3.4951037647029324,-3.5362086587814177,5.018168983723222e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
